formula
YFe4(CuO4)3
LaFe4(CuO4)3
CeFe4(CuO4)3
PrFe4(CuO4)3
SmFe4(CuO4)3
EuFe4(CuO4)3
GdFe4(CuO4)3
NdFe4(CuO4)3
TbFe4(CuO4)3
DyFe4(CuO4)3
LuFe4(CuO4)3
HoFe4(CuO4)3
ErFe4(CuO4)3
TmFe4(CuO4)3
CeMn4(CuO4)3
PrMn4(CuO4)3
LaCr4(CuO4)3
SmMn4(CuO4)3
EuMn4(CuO4)3
GdMn4(CuO4)3
ScNi2SbO6
DyMn4(CuO4)3
HoMn4(CuO4)3
LaCu3(RuO3)4
TmMn4(CuO4)3
PrCu3(RuO3)4
NdCu3(RuO3)4
NaLu(Pd3O4)2
YCr4(CuO4)3
YCoO3
BaYCo4O7
BaLa(CoO3)2
CeCrO3
YMn4(CuO4)3
ScCuO2
YCu6ClO8
Y(PdO2)2
CeMn2(GeO3)4
BaPr(CoO3)2
YPd3S4
BaNd(CoO3)2
ScMnO3
YFeO3
SmFe3(BO3)4
BaHo(CoO3)2
