formula
YFeO3
PrFeO3
PrMn7O12
YTaO4
NdFeO3
SmFeO3
Nd2MnNiO6
GdTaO4
NdTaO4
DyTaO4
SmTaO4
TbTaO4
ErTaO4
HoTaO4
YFe4(CuO4)3
LuTaO4
PrFe4(CuO4)3
YMn2O5
NdFe4(CuO4)3
LaFe4(CuO4)3
PrCoO3
CeFe4(CuO4)3
TmTaO4
YCoO3
SmFe4(CuO4)3
ScTaO4
GdFe4(CuO4)3
EuFe4(CuO4)3
BaLa(CoO3)2
EuTaO4
NdMn2O5
NdCoO3
LuFe4(CuO4)3
TbFeO3
TbFe4(CuO4)3
GdMn2O5
BaPr(CoO3)2
DyFe4(CuO4)3
La3ReO8
Sc2MnNiO6
CeMn4(CuO4)3
PrMn4(CuO4)3
DyFeO3
GdMn4(CuO4)3
BaNd(CoO3)2
HoFe4(CuO4)3
EuMn4(CuO4)3
SmMn4(CuO4)3
Tb2MnNiO6
PrCu3(RuO3)4
HoFeO3
LaCr4(CuO4)3
LaFe12O19
NdCu3(RuO3)4
LaCu3(RuO3)4
CeRh2O5
DyMn4(CuO4)3
Dy2MnNiO6
HoMn4(CuO4)3
BaSm(CoO3)2
ScNi2SbO6
Er(FeO2)2
TmMn4(CuO4)3
Ce(FeP3)4
Tm(FeO2)2
EuCuSF
Y3ReO8
Lu2Cu(B2O5)2
Eu(FeP3)4
Tb(FeP3)4
La(FeP3)4
Gd3ReO8
CeMn2(GeO3)4
Pr3ReO8
