formula
LaFe12O19
YFe4(CuO4)3
CeMn4(CuO4)3
YFeO3
YCoO3
PrMn4(CuO4)3
LaMn3V4O12
LaCr4(CuO4)3
ScTaO4
PrCu3(RuO3)4
YTaO4
LaCu3(RuO3)4
GdTaO4
NdCu3(RuO3)4
LuTaO4
Sc2MnNiO6
BaLa(CoO3)2
ScNbO4
LaNiO2
YCr4(CuO4)3
Pr(CoP3)4
La(FeP3)4
YMn4(CuO4)3
YNiO3
GdMn4(CuO4)3
Nd(CoP3)4
LiScMo3O8
ScZnMo3O8
ScNi2SbO6
YCu6ClO8
Yb(CoP3)4
LaFe5(GeO5)3
NdMn3V4O12
ScVO4
LiYMo3O8
ScCoC2
PrFeO3
BaPr(CoO3)2
ScFeC2
YMn2O5
Pr(FeP3)4
NaLu(Pd3O4)2
YPd3S4
NdFeO3
ScMnO3
Eu(Ni3S4)2
ScH4Pd3
Ce(FeP3)4
Pr(WO3)5
CeCrO3
Sc(ReO3)2
SmFeO3
ScNiC2
PrCoO3
Y3Fe5O12
LaPd3S4
ScCuO2
NdNiO2
CeRh2O5
LaNb2O7
CeMn2(GeO3)4
BaYCo4O7
LaNbO4
LaTaO4
CeBMoO6
GdFeO3
YCuO2
GdCrTeO6
ScCuS2
Gd3Fe5O12
LaCuO3
SmFe3(BO3)4
Y(PdO2)2
La2MnNiO6
Nd(MoO2)6
CeBiW2O9
La(PdO2)2
La(FeAs3)4
