formula,pearson,space,volume,density,band_gap,efermi,formation_energy_per_atom
Cu7S4,orthorhombic,62.0,685.1,5.556,0.0,5.75828951,-0.23135375534090802
Cu9S5,trigonal,166.0,643.9,5.6,0.0,6.35668925,-0.155011724308035
Cu9S8,hexagonal,164.0,841.2,4.97,,,
CuBi2O4,tetragonal,130.0,420.3,8.622,0.0,5.3162676,-1.451445688214286
CuCo2O4,cubic,227.0,519.5,6.275,0.0,4.19779785,-1.148951794285714
CuCo2S4,cubic,227.0,850.4,4.837,0.0,5.65528273,-0.5034428230357141
CuCr2O4,Cubic,227.0,567.9,5.416,0.0,3.71607838,-1.9373669635714301
CuFe2O4,cubic,227.0,586.4,5.42,0.0,3.48319122,-1.407231362142857
CuFeS2,tetragonal,122.0,291.6,4.18,0.0,4.43645935,-0.51443867375
CuFeSe2,tetragonal,112.0,337.9,5.45,0.0,3.26353396,-0.36968365492187505
CuI,cubic,216.0,221.94,5.7,1.176299999999999,4.78666537,-0.33633597749999905
CuInS2,tetragonal,122.0,338.9,4.752,0.0,5.01065751,-0.6248616814062491
CuMn2O4,cubic,227.0,583.7,5.10312110400582,0.0,4.23224712,-1.665176083694581
CuMnO2,monoclinic,12.0,92.2,5.418,0.17869999999999903,3.72212939,-1.539728060732759
CuMoO4,triclinic,2.0,133.5,5.56,0.44069999999999904,1.91073747,-1.577344520000001
CuNa2(CO3)2(H2O)3,monoclinic,14.0,816.8,2.28,0.8191,1.0902086500000001,-1.568837855012932
CuO,monoclinic,15.0,82.2,6.424,0.0,4.72796063,-0.9425302874999991
CuPt,cubic,225.0,54.7,15.703,0.0,6.5617724,-0.18247179999999802
CuS,hexagonal,194.0,203.47,4.681,0.0,5.49246722,-0.27765523557291705
CuWO4,triclinic,2.0,132.7,7.44,0.0,3.144946039999999,-1.7008661766666662
Eu2O2S,hexagonal,164.0,86.6,7.054,0.0,2.51518441,-2.824861879499994
Fe0.8Ni0.2S2,cubic,205.0,171.9,,,,
Fe1.44O0.32(OH)3.68,hexagonal,156.0,71.3,3.449,,,
Fe2(MoO4)3,monoclinic,60.0,2156.3,3.64,2.6649000000000003,-0.86768065,-1.8975183304411782
Fe2MoO4,cubic,227.0,616.1,5.86,0.0,4.35369442,-1.634722320714285
Fe2O3,trigonal,167.0,301.9,5.26,0.0,2.88380023,-1.7070913529999991
Fe3(PO4)2,monoclinic,12.0,619.8,2.688,0.8948,2.7283269800000003,-2.295905708021976
Fe3(PO4)2(OH)2,tetragonal,96.0,706.0,3.68,1.7308,1.80923793,-2.090372608928571
Fe3O4,cubic,227.0,587.2,5.175,0.0,4.15525912,-1.6295829685714271
Fe3S4,cubic,227.0,963.3,4.049,0.0,5.56764438,-0.659794203571426
Fe4(Fe(CN)6)3,cubic,225.0,1047.2,1.762,,,
Fe7S8,hexagonal,144.0,712.5,4.61,0.0,7.35883064,-0.6097666619999991
Fe7Si8O22(OH)2,monoclinic,12.0,912.3,3.54,,,
FeCr2O4,cubic,227.0,588.3,5.055,0.0,4.22916528,-2.177599879285715
FeLaO3,orthorhombic,62.0,242.8,6.64,1.433399999999999,5.39078712,-2.825153782000001
FeMoO4,Monoclinic,12.0,319.02150959463944,4.492680605114182,2.037,0.95796802,-1.875182581666667
FeO(OH),orthorhombic,62.0,138.6,4.0,0.0,1.42694183,-1.549119508437499
FeOCl,orthorhombic,59.0,98.8,3.55,1.9133,0.82134767,-1.492954021666667
FeP,orthorhombic,62.0,93.2,6.187,0.0,9.16314288,-0.597337447321427
FePt,tetragonal,123.0,55.1,15.122,0.0,6.72760577,-0.231995889999999
FeS,tetragonal,129.0,67.92,4.299,0.0,4.338625,-0.7574410312499991
FeS2,triclinic,1.0,159.0,5.02,0.8770000000000001,7.70109249,-0.8474769699999981
FeSe,tetragonal,129.0,78.22,5.72,0.0,4.00925635,-0.5079187611718751
FeVO4,triclinic,2.0,462.5,3.679,0.0839,1.14813406,-2.064779134444444
FeWO4,monoclinic,13.0,134.5,7.495,2.401,2.9432597400000002,-2.022696756666667
HfO2,monoclinic,14.0,138.3,10.111,4.0165,3.14741998,-4.019811040833332
InVO4,orthorhombic,63.0,322.4,4.65,2.9684,1.32522151,-2.216125894444445
Ir,cubic,225.0,56.6,22.42,0.0,10.15657508,0.0
IrO2,tetragonal,136.0,63.8,11.666,0.0,5.64300938,-1.260892841666664
K2CoFe(CN)6,cubic,216.0,1024.2,2.264,0.0,2.09090651,-0.15596057715625
LaCoO3,trigonal,166.0,335.6,7.299,0.9497000000000001,5.95606719,-2.599926138
LaMnO3,orthorhombic,62.0,233.9,6.865,0.0,6.67604071,-3.009731305586207
LaNiO3,trigonal,167.0,168.9,7.254091284819418,0.0,7.24925356,-2.47170472
LaVO4,monoclinic,14.0,333.1,5.062,3.5153,2.90563331,-3.188956035416667
LiFePO4,orthorhombic,62.0,293.0,3.42,3.922399999999999,2.60398314,-2.4798960147108833
MgFe2O4,cubic,227.0,587.6,4.521,0.0,3.1273603,-2.165017080714286
Mn2O3,orthorhombic,61.0,834.6,4.96,0.07210000000000001,3.43251628,-2.013919843547413
Mn3(PO4)2,Monoclinic,14.0,310.7749492482777,3.791088213118403,2.9497,2.56757946,-2.5509387956214473
Mn3O4,tetragonal,141.0,314.4,4.84,0.8134999999999991,3.2345749,-2.050409240541872
MnCo2O4,cubic,227.0,565.4,5.564,0.0,3.26378223,-1.4581127304187191
MnCr2O4,cubic,227.0,601.3,4.925,2.2026,3.54060299,-2.337050971133004
MnFe2O4,cubic,227.0,617.4,4.962,0.9977,4.18816085,-1.836117058275863
MnO2,tetragonal,87.0,271.1,4.5,1.1467,0.85480126,-1.80582994014368
MnOOH,tetragonal,62.0,687.8,3.8,0.0,3.01494129,-1.734264161670258
MnS,hexagonal,186.0,88.6,3.26,0.0,3.14668744,-1.1258302186476281
MnSe,cubic,225.0,163.0,5.458,0.0,4.96179142,-0.9278046767726291
MnWO4,monoclinic,13.0,138.4,7.266,2.356299999999999,2.8855650600000002,-2.216569472988496
Mo2N,cubic,221.0,72.2,9.477,0.0,9.34266628,-0.36008341000000005
Mo3Se4,monoclinic,148.0,146.5,6.842,0.0,4.30780209,-0.5819315730357171
MoN,hexagonal,194.0,159.2,9.175,0.0,10.00772725,-0.5354622800000001
MoO2,monoclinic,14.0,131.59,6.458,0.0,5.81959564,-1.827539415
MoO3,hexagonal,14.0,1428.8,8.532,1.3714,0.42873088000000004,-1.9245719515625002
MoP2,orthorhombic,36.0,175.3,5.982,0.0,9.23522111,-0.5421201086507941
MoS2,hexagonal,194.0,106.4,4.994,1.464899999999999,3.87623833,-0.9644498168750011
MoSe2,hexagonal,194.0,120.9,6.9,1.301,3.8297572,-0.749936842708334
Ni(OH)2,hexagonal,164.0,39.0,4.1,0.767,3.40736566,-1.244289493499999
Ni3S2,trigonal,155.0,203.7,5.874,0.0,7.36047974,-0.5714508529999991
Ni3V2O8,orthorhombic,64.0,558.6,4.87,0.0,3.28279245,-1.8717996761538451
NiCo2O4,cubic,227.0,534.2,5.982,0.0,4.78571211,-1.039772013571428
NiCo2S4,cubic,227.0,827.1,4.5,0.0,6.30251416,-0.745516640714294
NiCr2O4,cubic,227.0,571.6,5.269,0.0,4.86921887,-2.03065658642857
NiCu,cubic,225.0,45.2,8.987,0.0,7.23137716,0.041428610000000005
NiFe2O4,cubic,227.0,579.5,5.373,0.0,3.56904485,-1.5086928378571431
NiMn2O4,cubic,227.0,588.9,5.246,0.0,3.58515685,-1.444434275837438
NiO,cubic,225.0,72.9,6.803,2.300899999999999,5.87177732,-1.218085299999999
NiS,hexagonal,194.0,54.5,5.528,0.0,8.2857861,-0.520097271249999
NiSe2,cubic,205.0,212.02,6.786,0.0,6.29710288,-0.319800996041666
NiTe,trigonal,166.0,263.4,7.048,0.0,7.03435205,-0.19041621250000001
NiV2O6 ,triclinic,2.0,293.9,4.349,2.1245,1.80809144,-2.115222795000001
Os,hexagonal,194.0,28.0,22.48,0.0,8.56779019,0.0
PbWO4,tetragonal,88.0,357.8,8.447,3.562999999999999,2.41282121,-2.003273380833332
Pd,cubic,225.0,58.9,12.008,0.0,4.47959619,0.0
Pr6O11,cubic,225.0,163.5,6.952,0.0,1.23888073,-3.236619709558822
Pt,cubic,225.0,60.4,21.37,0.0,7.2851128,0.0
PtO2,hexagonal,164.0,34.5,10.944,1.6099,2.47480799,-0.8708263916666651
PtS2,hexagonal,164.0,54.7,7.869,1.5467,2.92059357,-0.440054991874996
PtTe2,hexagonal,164.0,73.3,10.16,0.0,7.28746209,-0.44249040333333206
ReS2,triclinic,2.0,219.32,7.581,1.3202,4.02373717,-0.902182740833333
Ru,hexagonal,194.0,27.2,12.2,0.0,8.37185573,0.0
RuO2,tetragonal,136.0,62.9,7.026,0.0,4.57067993,-1.457661898333333
RuS2,cubic,205.0,176.5,6.0,0.6683999999999991,7.57206877,-0.687351060208333
RuSe2,cubic,205.0,208.91,8.234,0.313799999999999,5.90710577,-0.523511360208331
SnO2,tetragonal,136.0,71.6,7.02,0.6519,5.59411961,-2.107482005
Sr(FeO3),cubic,221.0,57.1,5.568,0.0,2.88461787,-2.222982896999998
SrCoO3,cubic,221.0,56.6,5.705,0.0,3.10415682,-1.9179654
Tb2(MoO4)3,tetragonal,113.0,575.4,4.604,3.5679,-0.82700283,-2.656798237549019
TiN,cubic,225.0,76.3,5.388,0.0,8.76602647,-1.9426672827083311
TiO2,tetragonal,141.0,135.5,3.915,2.0586,1.9577428700000001,-3.5080554519444442
UO2,cubic,225.0,163.4,10.95,0.0,10.02742523,-3.75044424
V2O3,trigonal,167.0,297.4,5.022,0.0,5.58076417,-2.525890519
V2O5,orthorhombic,59.0,179.6,3.32,2.161,-0.53606004,-2.2890218171428582
V6O13,monoclinic,12.0,436.8,3.905,0.5218,2.44990074,-2.39171737868421
V8C7,cubic,212.0,578.9,5.641,0.0,7.61149406,-0.614048261685187
VN,cubic,225.0,70.5,6.12,0.0,8.63172945,-1.162422889374999
VO2,monoclinic,12.0,273.3,4.031,0.7584000000000001,2.16139927,-2.522468176666668
VS2,hexagonal,164.0,51.7,3.695,0.0,4.39883688,-1.186567376666668
VS4,monoclinic,15.0,826.6,2.88,0.9239,3.07144873,-0.9510626574999991
VSe2,hexagonal,164.0,59.7,5.813,0.0,3.64142869,-0.833392346041667
W18O49,monoclinic,10.0,882.05,7.706,0.0,2.73284347,-2.15327105216418
WC,hexagonal,187.0,20.8,15.669,0.0,7.93987235,-0.153540745
WN,cubic,224.0,70.4,18.656,0.0,9.76482919,-0.176156540208339
WO3,orthorhombic,62.0,288.6,5.52,1.3952,0.51682502,-2.179955638125
WS2,hexagonal,194.0,106.5,7.18,1.2557,5.29251211,-0.8835800085416661
WSe2,hexagonal,194.0,121.4,9.35,1.4465,3.4107938,-0.603619506041667
WTe2,orthorhombic,31.0,439.05,9.575,0.0,5.92169717,-0.116551468333336
YVO4,tetragonal,141.0,318.82,4.247,2.976,0.7204471,-3.184120813333332
Zn3V2O7(OH)2,hexagonal,164.0,228.1,3.494,,,
ZnCo2O4,cubic,227.0,530.4,6.193,0.0,2.29416953,-1.410660542857143
ZnFe2O4,cubic,227.0,603.35,5.308,1.6686,2.30255754,-1.7450259114285722
ZnO,hexagonal,186.0,47.6,5.675,0.7227,0.8923141,-1.7908991124999991
ZnS,cubic,216.0,158.7,4.077,2.0192,1.90769514,-0.9625521039062511
